        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292288469312e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.538683108058e-12,        +4.673239776276e-03,        +5.604941625338e-12,        +1.702445480577e-02,        +1.538683108058e-12,        +4.673239776276e-03,        +5.604941625338e-12,        +1.702445480577e-02,        +6.799469748288e-12,        +2.065113493407e-02,        +5.914418662120e-12,        +1.796446063961e-02,        +1.069527980746e-10,        +3.248336629738e-01,        +7.713242429452e-11,        +2.342820959143e-01,        +3.011216782624e-11,        +9.145572580767e-02,        +5.134658874040e-11,        +1.559601754798e-01,        +7.635529532809e-11,        +2.319038932629e-01,        +6.655733605252e-11,        +2.021613132412e-01,        +7.767603512196e-11,        +2.359152024834e-01,        +6.700031017625e-11,        +2.035068032487e-01,        +2.932050878156e-11,        +8.905132394127e-02,        +5.108060802372e-11,        +1.551522854083e-01,        +4.990888224377e-13,        +1.515816820693e-03,        +4.592219356378e-12,        +1.394841126220e-02
 2.00e+00,        +3.292540468113e-10,        +3.292288759466e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.515974444467e-12,        +4.604269739881e-03,        +5.591286186970e-12,        +1.698297626808e-02,        +1.515974444467e-12,        +4.604269739881e-03,        +5.591286186970e-12,        +1.698297626808e-02,        +6.763165944002e-12,        +2.054087416541e-02,        +5.895456431109e-12,        +1.790686316368e-02,        +2.227082047051e-11,        +6.764023308506e-02,        +4.872707012131e-11,        +1.480036341928e-01,        +9.759531321414e-11,        +2.964134052696e-01,        +7.381609198028e-11,        +2.242090453580e-01,        +5.170244109878e-11,        +1.570290224205e-01,        +5.843408282083e-11,        +1.774877208228e-01,        +5.044927123530e-11,        +1.532229344601e-01,        +5.803997301020e-11,        +1.762906514300e-01,        +9.846259200481e-11,        +2.990474770421e-01,        +7.414609786220e-11,        +2.252114054364e-01,        +4.944683992574e-13,        +1.501783817226e-03,        +4.578817533731e-12,        +1.390770332817e-02
 3.00e+00,        +3.292540468113e-10,        +3.292465771006e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.612175465267e-13,        +1.097078532595e-03,        +1.516164250067e-11,        +4.604950682917e-02,        +3.612175465267e-13,        +1.097078532595e-03,        +1.516164250067e-11,        +4.604950682917e-02,        +4.042208902250e-12,        +1.227686930927e-02,        +6.851277963640e-12,        +2.080895729873e-02,        +6.446270870102e-11,        +1.957841044790e-01,        +6.015460038593e-11,        +1.827037988236e-01,        +6.509902964815e-11,        +1.977167183778e-01,        +6.105080000535e-11,        +1.854257697771e-01,        +6.502677862969e-11,        +1.974972798647e-01,        +6.096636465580e-11,        +1.851693195801e-01,        +6.508828245263e-11,        +1.976840773348e-01,        +6.102721604499e-11,        +1.853541396919e-01,        +6.510901862122e-11,        +1.977470565716e-01,        +6.105463704993e-11,        +1.854374237922e-01,        +6.480230980426e-14,        +1.968155302322e-04,        +2.980038494256e-12,        +9.051084207158e-03
 4.00e+00,        +3.292540468113e-10,        +3.292370058803e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.663022659174e-14,        +1.719955370031e-04,        +9.311134258174e-15,        +2.828094683123e-05,        +5.663022659174e-14,        +1.719955370031e-04,        +9.311134258174e-15,        +2.828094683123e-05,        +4.916829776339e-13,        +1.493324022577e-03,        +4.236108468229e-14,        +1.286644086956e-04,        +6.232942246310e-11,        +1.893049548418e-01,        +7.771089194896e-11,        +2.360332847190e-01,        +6.348969850442e-11,        +1.928289086172e-01,        +6.553834496570e-11,        +1.990612956477e-01,        +6.958695678507e-11,        +2.113473090430e-01,        +6.012642267303e-11,        +1.826235252999e-01,        +6.957857348533e-11,        +2.113218475496e-01,        +6.009397088216e-11,        +1.825249586434e-01,        +6.366568661000e-11,        +1.933634141374e-01,        +6.570168645079e-11,        +1.995574169287e-01,        +5.539575913316e-14,        +1.682462513966e-04,        +1.401674067321e-14,        +4.257340585313e-05
 5.00e+00,        +3.292540468113e-10,        +3.292362721292e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.214341319293e-11,        +3.688159131387e-02,        +3.257235487789e-13,        +9.893306915195e-04,        +1.214341319293e-11,        +3.688159131387e-02,        +3.257235487789e-13,        +9.893306915195e-04,        +7.497375748037e-11,        +2.277079301119e-01,        +4.731433670888e-12,        +1.437093683600e-02,        +4.699741479366e-11,        +1.427390650132e-01,        +6.457896950761e-11,        +1.961477971123e-01,        +4.741542382496e-11,        +1.440086288511e-01,        +6.497410022121e-11,        +1.973479404350e-01,        +4.703102999912e-11,        +1.428411600544e-01,        +6.451456266990e-11,        +1.959521721367e-01,        +4.712309950439e-11,        +1.431207906501e-01,        +6.455717230556e-11,        +1.960815917641e-01,        +4.718013422503e-11,        +1.432940147037e-01,        +6.469540055007e-11,        +1.965014368911e-01,        +6.389773790815e-12,        +1.940681930169e-02,        +8.589096551903e-13,        +2.608794133270e-03
 6.00e+00,        +3.292540468113e-10,        +3.292377690161e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.543228822182e-16,        +2.898439340262e-06,        +5.599587207217e-15,        +1.700773038267e-05,        +9.543228822182e-16,        +2.898439340262e-06,        +5.599587207217e-15,        +1.700773038267e-05,        +5.331733105963e-15,        +1.619337152451e-05,        +3.508297071203e-15,        +1.065581595237e-05,        +7.087741463672e-11,        +2.152666469043e-01,        +5.931100799806e-11,        +1.801464278394e-01,        +6.814945889452e-11,        +2.069813858160e-01,        +6.364831753774e-11,        +1.933202187828e-01,        +6.109740534301e-11,        +1.855631113261e-01,        +7.136334707109e-11,        +2.167532214920e-01,        +6.104962884188e-11,        +1.854180060447e-01,        +7.131447924846e-11,        +2.166047943454e-01,        +6.807363123021e-11,        +2.067510844270e-01,        +6.359014773425e-11,        +1.931435385566e-01,        +2.218089495524e-16,        +6.736711414804e-07,        +1.361542208197e-15,        +4.135437475067e-06
 7.00e+00,        +3.292540468113e-10,        +3.292388747482e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.714318921977e-12,        +8.243843768254e-03,        +6.418368831366e-12,        +1.949456556816e-02,        +2.714318921977e-12,        +8.243843768254e-03,        +6.418368831366e-12,        +1.949456556816e-02,        +9.666023661351e-12,        +2.935734201284e-02,        +4.958486390374e-12,        +1.506045236659e-02,        +4.481647963252e-11,        +1.361151975702e-01,        +5.676097400609e-11,        +1.724005831617e-01,        +8.696362728268e-11,        +2.641231842855e-01,        +7.110235621715e-11,        +2.159597838242e-01,        +4.221169756563e-11,        +1.282040356814e-01,        +5.588876371393e-11,        +1.697514115144e-01,        +7.273151774833e-11,        +2.208978703609e-01,        +6.642572552915e-11,        +2.017554141501e-01,        +6.848388717374e-11,        +2.079971008314e-01,        +6.498571407691e-11,        +1.973816552696e-01,        +1.666494825053e-12,        +5.061425489504e-03,        +2.698485983244e-12,        +8.196134145177e-03
 8.00e+00,        +3.292540468113e-10,        +3.292388367248e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.714873585123e-12,        +8.245528373655e-03,        +6.420651140425e-12,        +1.950149989684e-02,        +2.714873585123e-12,        +8.245528373655e-03,        +6.420651140425e-12,        +1.950149989684e-02,        +9.672584367824e-12,        +2.937726798349e-02,        +4.961615907785e-12,        +1.506995941652e-02,        +8.103280184740e-11,        +2.461102684452e-01,        +6.906577297901e-11,        +2.097740766735e-01,        +3.902411035904e-11,        +1.185227964150e-01,        +5.487261579283e-11,        +1.666650761456e-01,        +8.392826087842e-11,        +2.549042652360e-01,        +7.023245860437e-11,        +2.133176611332e-01,        +5.357791434930e-11,        +1.627251505887e-01,        +5.987216424180e-11,        +1.818502484014e-01,        +5.763444438146e-11,        +1.750455155818e-01,        +6.111094712940e-11,        +1.856128145067e-01,        +1.669057042706e-12,        +5.069207376097e-03,        +2.702610929193e-12,        +8.208663826169e-03
 9.00e+00,        +3.292540468113e-10,        +3.292363239860e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.324222407785e-15,        +1.920772870989e-05,        +2.916783517730e-13,        +8.859239716981e-04,        +6.324222407785e-15,        +1.920772870989e-05,        +2.916783517730e-13,        +8.859239716981e-04,        +1.416307091717e-13,        +4.301563201525e-04,        +3.975309830734e-13,        +1.207433548828e-03,        +8.107752631622e-11,        +2.462461041904e-01,        +6.614791791500e-11,        +2.009131833151e-01,        +7.181169722700e-11,        +2.181042205023e-01,        +6.590742931670e-11,        +2.001827396162e-01,        +5.416054165785e-11,        +1.644946878630e-01,        +6.532118120831e-11,        +1.984021095166e-01,        +5.270527571885e-11,        +1.600748000800e-01,        +6.529588053402e-11,        +1.983252629707e-01,        +6.934884908000e-11,        +2.106241358356e-01,        +6.577644730026e-11,        +1.997849037552e-01,        +2.201879786810e-15,        +6.687479799063e-06,        +9.825837686049e-14,        +2.984433056198e-04
 1.00e+01,        +3.292540468113e-10,        +3.292363454855e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.207432722269e-15,        +1.885301876282e-05,        +2.911017543260e-13,        +8.841725961231e-04,        +6.207432722269e-15,        +1.885301876282e-05,        +2.911017543260e-13,        +8.841725961231e-04,        +1.409791488438e-13,        +4.281774216875e-04,        +3.971710606160e-13,        +1.206340266079e-03,        +5.032615005248e-11,        +1.528489946893e-01,        +6.507775395278e-11,        +1.976627272326e-01,        +5.983880873828e-11,        +1.817405414384e-01,        +6.544149051436e-11,        +1.987675158338e-01,        +7.759221975688e-11,        +2.356606411017e-01,        +6.616168835363e-11,        +2.009549955855e-01,        +7.897735185846e-11,        +2.398675206071e-01,        +6.612859920023e-11,        +2.008544928498e-01,        +6.237022346996e-11,        +1.894288743722e-01,        +6.564037177326e-11,        +1.993715841927e-01,        +2.106353654507e-15,        +6.397350844756e-06,        +9.816887634801e-14,        +2.981714433843e-04
 1.10e+01,        +3.292540468113e-10,        +3.292319533268e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.394705155007e-13,        +1.334745980366e-03,        +1.227888856703e-14,        +3.729555543729e-05,        +4.394705155007e-13,        +1.334745980366e-03,        +1.227888856703e-14,        +3.729555543729e-05,        +1.583083101819e-11,        +4.808090036099e-02,        +1.483400896270e-12,        +4.505640723146e-03,        +6.207893285672e-11,        +1.885441757146e-01,        +6.548855214745e-11,        +1.989131112145e-01,        +6.229954216430e-11,        +1.892142033413e-01,        +6.571445926359e-11,        +1.995992752209e-01,        +6.192979213214e-11,        +1.880912102126e-01,        +6.535617205800e-11,        +1.985110236038e-01,        +6.193043186601e-11,        +1.880931531922e-01,        +6.533012360356e-11,        +1.984319047511e-01,        +6.202953067558e-11,        +1.883941329691e-01,        +6.543781394309e-11,        +1.987590004003e-01,        +2.715515582842e-12,        +8.247478228865e-03,        +4.091525262910e-13,        +1.242748530805e-03
 1.20e+01,        +3.292540468113e-10,        +3.292323288718e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.150412809627e-11,        +3.493997479358e-02,        +3.743400751960e-13,        +1.137008860821e-03,        +1.150412809627e-11,        +3.493997479358e-02,        +3.743400751960e-13,        +1.137008860821e-03,        +5.428710544106e-11,        +1.648790833911e-01,        +3.575768097234e-12,        +1.086092641475e-02,        +5.353376058941e-11,        +1.625910481826e-01,        +6.616938272717e-11,        +2.009808178739e-01,        +5.106680721545e-11,        +1.550984952501e-01,        +6.398725497928e-11,        +1.943528911591e-01,        +5.251553812767e-11,        +1.594985350560e-01,        +6.533719261675e-11,        +1.984531496061e-01,        +5.269358636239e-11,        +1.600392975355e-01,        +6.549123191180e-11,        +1.989210237531e-01,        +5.094844174106e-11,        +1.547389993668e-01,        +6.384672057530e-11,        +1.939260363467e-01,        +2.704679237962e-12,        +8.214566424182e-03,        +4.504378890746e-13,        +1.368145985597e-03
 1.30e+01,        +3.292540468113e-10,        +3.292291183469e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.053154235443e-14,        +9.272943688959e-05,        +2.185502807244e-13,        +6.638242747839e-04,        +3.053154235443e-14,        +9.272943688959e-05,        +2.185502807244e-13,        +6.638242747839e-04,        +2.628966788026e-13,        +7.984614960656e-04,        +4.280208328394e-13,        +1.300069796343e-03,        +7.649837181024e-11,        +2.323384406391e-01,        +6.455303557240e-11,        +1.960732874921e-01,        +7.046783287430e-11,        +2.140226781015e-01,        +6.622556704308e-11,        +2.011534319188e-01,        +5.586600442697e-11,        +1.696744655624e-01,        +6.568212645293e-11,        +1.995027863353e-01,        +5.583630306555e-11,        +1.695842575249e-01,        +6.576036597500e-11,        +1.997404309351e-01,        +7.028320292956e-11,        +2.134619258601e-01,        +6.621251294988e-11,        +2.011137814369e-01,        +8.903483496686e-15,        +2.704137908983e-05,        +1.489392400767e-13,        +4.523878107275e-04
 1.40e+01,        +3.292540468113e-10,        +3.292289401358e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.546085466820e-14,        +7.732890427552e-05,        +2.190125363916e-13,        +6.652286894989e-04,        +2.546085466820e-14,        +7.732890427552e-05,        +2.190125363916e-13,        +6.652286894989e-04,        +2.378242244436e-13,        +7.223122289515e-04,        +4.254064160222e-13,        +1.292129470291e-03,        +5.300416109729e-11,        +1.609825653188e-01,        +6.518761642193e-11,        +1.980008695319e-01,        +6.154030001271e-11,        +1.869082570395e-01,        +6.534356635884e-11,        +1.984745518784e-01,        +7.623910550104e-11,        +2.315510051870e-01,        +6.620245685944e-11,        +2.010833459299e-01,        +7.628806240404e-11,        +2.316996955478e-01,        +6.618965615521e-11,        +2.010444650702e-01,        +6.191205683015e-11,        +1.880373451131e-01,        +6.551337490493e-11,        +1.989903283652e-01,        +7.075886936191e-15,        +2.149066049368e-05,        +1.478504829858e-13,        +4.490810647595e-04
 1.50e+01,        +3.292540468113e-10,        +3.292365681666e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.031546217666e-14,        +6.170148058440e-05,        +5.401496510353e-14,        +1.640612566348e-04,        +2.031546217666e-14,        +6.170148058440e-05,        +5.401496510353e-14,        +1.640612566348e-04,        +1.335467757478e-13,        +4.056040526796e-04,        +1.066052754489e-13,        +3.237953670898e-04,        +6.514582346071e-11,        +1.978588390686e-01,        +6.559876526172e-11,        +1.992450766542e-01,        +5.632673922818e-11,        +1.710737947603e-01,        +6.312029815214e-11,        +1.917171549431e-01,        +6.050402512022e-11,        +1.837609156400e-01,        +6.419532453269e-11,        +1.949823644748e-01,        +7.214027216047e-11,        +2.191021579207e-01,        +6.764130466198e-11,        +2.054489421957e-01,        +7.497224792001e-11,        +2.277033453228e-01,        +6.848736997894e-11,        +2.080187214935e-01,        +1.107668376862e-14,        +3.364175437142e-05,        +3.288533859397e-14,        +9.988361492497e-05
